key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,,right,0,6,6,10,1,RESPONSE RECORDED,0,right,3.7333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,,right,0,7,7,3,1,RESPONSE RECORDED,1,left,3.5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,,,,right,0,8,8,6,1,RESPONSE RECORDED,0,right,2.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,,right,0,9,9,13,1,TRY HARDER,1,left,2.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,,right,0,10,10,1,1,SPEED UP,1,left,3.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,,right,0,11,11,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,3.1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,,left,0,12,12,5,1,PAY ATTENTION,1,left,4.2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,,left,0,13,13,2,1,RESPONSE RECORDED,0,right,3.8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,20 x 2 - 77 = 24?,,,,,,,,,,YOU NEED TO CONCENTRATE,0,right,,space,8.9067,right,3.7848,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,13 x 3 + 2 = 90?,,,,,,,,,,RESPONSE RECORDED,0,right,,,,right,3.4371,0,1,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
