key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,,right,0,1,1,4,1,CONCENTRATE,1,left,4.6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,,,0,2,2,8,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,,,0,3,3,2,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,,,0,4,4,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,,,0,5,5,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,,,0,6,6,1,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,,,0,7,7,3,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,,,0,8,8,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,,,0,9,9,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,,left,0,10,10,13,1,TRY HARDER,1,left,3.8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
