key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,right,1.4673,0,5,5,8,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,right,1.3463,0,6,6,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,right,2.4131,0,7,7,9,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,right,2.6686,0,8,8,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,right,2.8637,0,9,9,4,1,CONCENTRATE,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,right,2.1158,0,10,10,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,right,0.0126,0,11,11,3,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,right,0.0108,0,12,12,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,right,0.1145,0,13,13,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,33 - 15 - 49 = -40?,,,,,,,,,,TRY HARDER,0,right,space,2.8358,right,0.9209,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,20 x 2 - 77 = 24?,,,,,,,,,,YOU NEED TO CONCENTRATE,0,right,,,right,0.0804,0,1,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,7 - 8 - 9 = -11?,,,,,,,,,,SPEED UP,0,right,,,right,0.0304,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,2 x 40 + 10 = 800?,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,0.0357,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,62 - 15 x 3 = 5?,,,,,,,,,,PAY ATTENTION,0,right,,,right,0.2155,0,4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,12 + 10 x 4 = 70?,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,0.0126,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,13 x 3 + 2 = 90?,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,0.083,0,6,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,55 - 66 + 14 = 3?,,,,,,,,,,RESPONSE RECORDED,1,left,,,right,0.0648,0,7,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,56 - 6 x 3 = 33?,,,,,,,,,,SPEED UP,0,right,,,right,0.0628,0,8,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,10 x 11 + 45 = 155?,,,,,,,,,,RESPONSE RECORDED,1,left,,,right,0.2459,0,9,9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
